fight_id,fighter_id,knockdowns,sig_str_landed,sig_str_att,total_str_landed,total_str_att,takedowns_landed,takedowns_att,sub_att,reversals,control_time,sig_head_landed,sig_head_att,sig_body_landed,sig_body_att,sig_leg_landed,sig_leg_att,sig_distance_landed,sig_distance_att,sig_clinch_landed,sig_clinch_att,sig_ground_landed,sig_ground_att
1cb28e867dd749b8,f1b2a4365799c48b,0,9,37,12,40,0,1,0,0,0:00,6,33,1,1,2,3,8,33,1,4,0,0
fb7d31b36bebc5af,480b702debcb5433,0,6,21,9,29,0,0,0,1,3:54,6,21,0,0,0,0,0,0,0,0,6,21
fb7d31b36bebc5af,de62052b2ede65ba,0,5,10,42,48,1,3,2,0,0:23,2,7,2,2,1,1,2,6,0,1,3,3
83c5a944258d2332,3bad7ef643840f67,0,7,10,17,20,1,1,3,0,1:49,7,10,0,0,0,0,0,1,1,2,6,7
83c5a944258d2332,18968f97ad34f15c,0,7,18,11,22,1,1,0,0,2:48,5,16,2,2,0,0,0,3,2,2,5,13
2d80f60b67791b97,0ff11cc094e887bc,0,68,115,68,115,0,3,0,0,1:29,35,81,11,12,22,22,24,58,44,57,0,0
2d80f60b67791b97,a421465acbe59c77,0,6,30,6,30,0,0,0,0,0:04,4,27,0,0,2,3,4,28,2,2,0,0
df7f3c60c523ca55,d1a1314976c50bef,0,34,71,35,72,0,0,2,0,0:51,17,51,12,15,5,5,12,35,22,36,0,0
df7f3c60c523ca55,86f582852a5b240a,1,30,57,46,74,0,0,0,0,1:05,20,44,7,9,3,4,19,41,11,15,0,1
868833557ae90877,365fee2da473b177,1,21,47,32,62,0,0,0,0,0:09,10,30,2,5,9,12,12,38,4,4,5,5
868833557ae90877,9583662df31d943f,0,12,23,13,24,0,1,0,0,0:18,6,13,2,3,4,7,11,21,1,2,0,0
0a1f2e1f9d91bc9a,aa1952ec0b3dd8e1,0,10,36,16,42,0,2,0,0,0:00,5,29,3,5,2,2,9,35,1,1,0,0
0a1f2e1f9d91bc9a,dc0f07928009a127,0,16,53,18,55,2,5,0,0,0:58,10,46,1,1,5,6,12,44,1,1,3,8
14c3447726332f2b,d0c29452d3272603,0,2,6,4,8,0,0,2,1,0:22,2,6,0,0,0,0,0,4,1,1,1,1
14c3447726332f2b,4f2fcbefb668689d,0,2,4,5,7,1,2,0,0,0:26,2,4,0,0,0,0,1,2,0,0,1,2
6a663c04dfe5b88e,5731cc327790b731,1,12,29,22,40,1,3,0,0,1:24,11,27,0,1,1,1,5,13,5,10,2,6
6a663c04dfe5b88e,bfc2fc38a0e20211,1,29,48,51,72,0,0,1,0,1:43,26,45,2,2,1,1,6,15,9,15,14,18
c9721146eba68c2a,75e5fec9f72910ef,0,7,10,22,26,2,3,1,0,3:22,5,8,0,0,2,2,2,2,3,4,2,4
c9721146eba68c2a,7d21de9c6d7c98b2,0,1,9,2,10,0,1,0,0,0:19,0,6,1,2,0,1,0,6,1,3,0,0
26888b89fbd860cf,f8fe2053d73d7bcf,0,16,17,48,50,3,3,1,0,3:44,16,17,0,0,0,0,1,1,0,0,15,16
26888b89fbd860cf,b05086131c6f5dc5,0,1,1,1,1,1,5,0,0,1:00,0,0,1,1,0,0,0,0,1,1,0,0
e4420b9812501c17,d023ae89a2a4a41e,0,15,36,35,59,2,4,0,0,1:51,2,17,8,13,5,6,1,15,13,19,1,2
e4420b9812501c17,2f3f12002564bb55,0,21,33,26,38,1,1,0,0,0:20,10,16,1,3,10,14,17,26,4,7,0,0
56aac937d9f1d13a,82e7929bf6c2b689,0,36,66,36,66,0,1,0,0,0:01,29,57,7,9,0,0,36,66,0,0,0,0
56aac937d9f1d13a,79899ecf62020f6d,0,11,54,11,54,0,1,0,0,0:00,11,53,0,1,0,0,8,49,3,5,0,0
9379672d351808a3,473ce3aa581251a2,1,5,12,5,12,0,0,0,0,0:02,3,9,0,0,2,3,4,11,0,0,1,1
9379672d351808a3,23a16ebe733e3041,0,2,7,2,7,0,0,0,0,0:00,2,6,0,0,0,1,2,7,0,0,0,0
c1b0670419fa0894,a8e6a69796280f17,0,22,34,22,34,1,1,0,0,1:03,7,17,8,8,7,9,17,28,0,0,5,6
c1b0670419fa0894,af5b208e97f5d382,0,5,25,5,25,0,0,1,0,0:00,3,22,0,0,2,3,5,25,0,0,0,0
995d42d9ff422ed1,427b5953ac8e3a27,0,6,17,6,17,1,4,1,0,0:09,5,14,1,3,0,0,5,15,0,1,1,1
995d42d9ff422ed1,48d1f690b763934c,0,8,24,18,34,0,0,0,0,1:27,5,20,1,1,2,3,7,21,0,0,1,3
fd05ac3ac2f7d042,30a09e43f15f1d75,1,7,24,7,24,0,0,0,0,0:02,4,21,1,1,2,2,7,24,0,0,0,0
fd05ac3ac2f7d042,dd37fd509af89f15,0,8,29,8,29,0,0,0,0,0:00,6,27,0,0,2,2,8,29,0,0,0,0
0bf249717dacc5c3,33011768c3c4dc9a,0,15,38,15,38,1,1,0,0,0:21,5,26,1,2,9,10,15,37,0,0,0,1
0bf249717dacc5c3,3138fab619faf4d1,0,0,13,70,86,2,4,0,0,1:48,0,12,0,1,0,0,0,13,0,0,0,0
95c229097cd2d7c3,63def5a5662a6917,2,12,18,12,18,0,0,0,0,0:06,9,14,2,3,1,1,6,8,4,7,2,3
95c229097cd2d7c3,ebc1f40e00e0c481,0,0,1,0,1,0,0,0,0,0:00,0,1,0,0,0,0,0,1,0,0,0,0
d89b849df7bff79b,e5c9de15bb58b1c6,1,13,27,14,28,0,0,1,0,0:31,13,27,0,0,0,0,7,18,0,0,6,9
d89b849df7bff79b,58bc81376286b3d3,0,9,13,14,18,1,1,1,0,0:32,5,9,3,3,1,1,8,12,0,0,1,1
0d395cb5d91f811f,51b0bb73a1da34bc,0,0,0,0,0,0,1,2,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0
0d395cb5d91f811f,36a432f22144843e,0,0,3,2,6,0,0,1,0,0:22,0,3,0,0,0,0,0,3,0,0,0,0
cdfaa6f4154a0ee9,aac5ac38148f0528,0,43,92,70,123,1,3,0,0,1:41,25,71,13,15,5,6,14,37,21,37,8,18
